"No.","Time","Source","Destination","Protocol","Length","Info"
"43","0.077097","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"44","0.079056","104.198.218.190","10.1.10.11","TLSv1.2","224","Application Data"
"78","0.146490","104.198.218.190","10.1.10.11","TLSv1.2","133","Application Data"
"101","0.186339","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"143","0.266303","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"199","0.355626","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"234","0.436352","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"268","0.525876","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"271","0.530916","104.198.218.190","10.1.10.11","TLSv1.2","224","Application Data"
"296","0.604452","104.198.218.190","10.1.10.11","TLSv1.2","139","Application Data"
"302","0.606365","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"317","0.650936","104.198.218.190","10.1.10.11","TLSv1.2","559","Application Data, Application Data, Application Data, Application Data"
"342","0.706748","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"343","0.717230","104.198.218.190","10.1.10.11","TLSv1.2","310","Application Data, Application Data"
"374","0.817084","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"434","0.896626","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"512","0.985759","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"545","1.067704","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"573","1.155643","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"597","1.240958","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"598","1.242559","104.198.218.190","10.1.10.11","TLSv1.2","249","Application Data"
"635","1.325684","104.198.218.190","10.1.10.11","TLSv1.2","249","Application Data"
"649","1.338328","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"716","1.382965","104.198.218.190","10.1.10.11","TLSv1.2","388","Application Data, Application Data, Application Data"
"779","1.415990","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"839","1.508685","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"907","1.587467","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"949","1.676910","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"975","1.761084","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1006","1.845536","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1036","1.925614","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1037","1.928047","104.198.218.190","10.1.10.11","TLSv1.2","258","Application Data"
"1078","1.998762","104.198.218.190","10.1.10.11","TLSv1.2","325","Application Data, Application Data"
"1087","2.016488","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1122","2.106131","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1153","2.185970","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1155","2.201230","104.198.218.190","10.1.10.11","TLSv1.2","258","Application Data"
"1180","2.267026","104.198.218.190","10.1.10.11","TLSv1.2","122","Application Data"
"1188","2.275493","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1220","2.363037","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1251","2.450350","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1282","2.525526","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1285","2.539811","104.198.218.190","10.1.10.11","TLSv1.2","258","Application Data"
"1306","2.606701","104.198.218.190","10.1.10.11","TLSv1.2","413","Application Data, Application Data, Application Data"
"1317","2.620127","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1330","2.666906","104.198.218.190","10.1.10.11","TLSv1.2","335","Application Data, Application Data"
"1347","2.696108","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1354","2.732924","104.198.218.190","10.1.10.11","TLSv1.2","337","Application Data, Application Data"
"1376","2.795606","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1409","2.876009","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1410","2.877646","104.198.218.190","10.1.10.11","TLSv1.2","264","Application Data"
"1429","2.942430","104.198.218.190","10.1.10.11","TLSv1.2","130","Application Data"
"1443","2.966790","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1451","3.008673","104.198.218.190","10.1.10.11","TLSv1.2","337","Application Data, Application Data"
"1471","3.046034","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1482","3.075307","104.198.218.190","10.1.10.11","TLSv1.2","344","Application Data, Application Data"
"1509","3.142083","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1544","3.215691","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1562","3.223055","104.198.218.190","10.1.10.11","TLSv1.2","264","Application Data"
"1602","3.288844","104.198.218.190","10.1.10.11","TLSv1.2","430","Application Data, Application Data, Application Data"
"1616","3.308326","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1663","3.410912","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1703","3.485744","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1743","3.577963","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1781","3.656109","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1783","3.659663","104.198.218.190","10.1.10.11","TLSv1.2","279","Application Data"
"1806","3.728918","104.198.218.190","10.1.10.11","TLSv1.2","130","Application Data"
"1817","3.746097","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1825","3.789501","104.198.218.190","10.1.10.11","TLSv1.2","579","Application Data, Application Data, Application Data"
"1848","3.836876","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1879","3.925815","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1906","4.005912","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1907","4.017784","104.198.218.190","10.1.10.11","TLSv1.2","286","Application Data"
"1923","4.082892","104.198.218.190","10.1.10.11","TLSv1.2","132","Application Data"
"1931","4.099458","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1939","4.144912","104.198.218.190","10.1.10.11","TLSv1.2","367","Application Data, Application Data"
"1954","4.176221","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1972","4.211074","104.198.218.190","10.1.10.11","TLSv1.2","684","Application Data, Application Data, Application Data, Application Data"
"1999","4.266472","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2000","4.277162","104.198.218.190","10.1.10.11","TLSv1.2","371","Application Data, Application Data"
"2029","4.346741","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2030","4.346869","104.198.218.190","10.1.10.11","TLSv1.2","286","Application Data"
"2053","4.416853","104.198.218.190","10.1.10.11","TLSv1.2","457","Application Data, Application Data, Application Data"
"2068","4.457017","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2078","4.485515","104.198.218.190","10.1.10.11","TLSv1.2","372","Application Data, Application Data"
"2101","4.536947","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2127","4.613056","104.198.218.190","10.1.10.11","TLSv1.2","303","Application Data"
"2137","4.635641","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2145","4.683762","104.198.218.190","10.1.10.11","TLSv1.2","123","Application Data"
"2159","4.715627","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2187","4.749853","104.198.218.190","10.1.10.11","TLSv1.2","375","Application Data, Application Data"
"2220","4.796687","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2236","4.817472","104.198.218.190","10.1.10.11","TLSv1.2","378","Application Data, Application Data"
"2267","4.882818","104.198.218.190","10.1.10.11","TLSv1.2","381","Application Data, Application Data"
"2275","4.886865","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2282","4.931460","104.198.218.190","10.1.10.11","TLSv1.2","381","Application Data, Application Data"
"2296","4.967770","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2311","4.996900","104.198.218.190","10.1.10.11","TLSv1.2","381","Application Data, Application Data"
"2340","5.057246","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2348","5.072724","104.198.218.190","10.1.10.11","TLSv1.2","384","Application Data, Application Data"
"2368","5.135733","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2393","5.220745","104.198.218.190","10.1.10.11","TLSv1.2","311","Application Data"
"2401","5.227660","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"2409","5.270962","104.198.218.190","10.1.10.11","TLSv1.2","463","Application Data, Application Data, Application Data"
