"No.","Time","Source","Destination","Protocol","Length","Info"
"1680","5.382273","10.1.10.11","104.198.218.190","TLSv1.2","501","Application Data"
"1697","5.428430","104.198.218.190","10.1.10.11","TLSv1.2","358","Application Data"
"1700","5.431174","10.1.10.11","104.198.218.190","TLSv1.2","501","Application Data"
"1713","5.480734","104.198.218.190","10.1.10.11","TLSv1.2","358","Application Data"
"3161","10.155508","104.198.218.190","10.1.10.11","TLSv1.2","1474","Server Hello, Certificate"
"3162","10.156066","104.198.218.190","10.1.10.11","TLSv1.2","222","Server Key Exchange, Server Hello Done"
"3164","10.162003","10.1.10.11","104.198.218.190","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request"
"3183","10.208588","104.198.218.190","10.1.10.11","TLSv1.2","296","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"3184","10.209938","10.1.10.11","104.198.218.190","TLSv1.2","584","Application Data"
"3199","10.255665","104.198.218.190","10.1.10.11","TLSv1.2","212","Application Data"
"3246","10.341470","10.1.10.11","104.198.218.190","TLSv1.2","142","Application Data"
"3434","11.105252","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3460","11.179259","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3493","11.268734","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3534","11.356272","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3560","11.440651","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3600","11.519494","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3629","11.607020","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3631","11.613094","104.198.218.190","10.1.10.11","TLSv1.2","121","Application Data"
"3654","11.696570","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3717","11.776873","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3727","11.810214","104.198.218.190","10.1.10.11","TLSv1.2","124","Application Data"
"3750","11.866839","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3772","11.947089","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3774","11.948954","104.198.218.190","10.1.10.11","TLSv1.2","127","Application Data"
"3792","12.035127","104.198.218.190","10.1.10.11","TLSv1.2","128","Application Data"
"3798","12.036548","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3827","12.116578","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3829","12.126467","104.198.218.190","10.1.10.11","TLSv1.2","121","Application Data"
"3850","12.208478","104.198.218.190","10.1.10.11","TLSv1.2","122","Application Data"
"3856","12.210838","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3883","12.290336","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3886","12.300867","104.198.218.190","10.1.10.11","TLSv1.2","121","Application Data"
"3918","12.377052","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3921","12.384289","104.198.218.190","10.1.10.11","TLSv1.2","407","Application Data, Application Data, Application Data, Application Data, Application Data"
"3950","12.458421","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3983","12.548910","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"3984","12.554048","104.198.218.190","10.1.10.11","TLSv1.2","128","Application Data"
"4015","12.628135","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4018","12.631886","104.198.218.190","10.1.10.11","TLSv1.2","122","Application Data"
"4053","12.716812","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4081","12.792750","104.198.218.190","10.1.10.11","TLSv1.2","128","Application Data"
"4087","12.797117","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4102","12.842518","104.198.218.190","10.1.10.11","TLSv1.2","130","Application Data"
"4119","12.887058","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4143","12.968430","104.198.218.190","10.1.10.11","TLSv1.2","135","Application Data"
"4153","12.976750","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4173","13.026379","104.198.218.190","10.1.10.11","TLSv1.2","123","Application Data"
"4195","13.058765","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4212","13.097588","104.198.218.190","10.1.10.11","TLSv1.2","209","Application Data, Application Data"
"4239","13.146610","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4269","13.227399","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4305","13.319125","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4331","13.391530","104.198.218.190","10.1.10.11","TLSv1.2","143","Application Data"
"4340","13.398668","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4355","13.444655","104.198.218.190","10.1.10.11","TLSv1.2","120","Application Data"
"4374","13.487157","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4404","13.567138","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4426","13.637951","104.198.218.190","10.1.10.11","TLSv1.2","148","Application Data"
"4441","13.656632","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4453","13.704483","104.198.218.190","10.1.10.11","TLSv1.2","280","Application Data, Application Data, Application Data"
"4470","13.737081","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4500","13.824666","104.198.218.190","10.1.10.11","TLSv1.2","148","Application Data"
"4507","13.827002","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4518","13.872950","104.198.218.190","10.1.10.11","TLSv1.2","124","Application Data"
"4535","13.907810","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4543","13.941886","104.198.218.190","10.1.10.11","TLSv1.2","222","Application Data, Application Data"
"4566","13.996764","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4572","14.018108","104.198.218.190","10.1.10.11","TLSv1.2","223","Application Data, Application Data"
"4600","14.077290","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4603","14.088144","104.198.218.190","10.1.10.11","TLSv1.2","223","Application Data, Application Data"
"4633","14.166581","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4665","14.257556","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4667","14.271357","104.198.218.190","10.1.10.11","TLSv1.2","153","Application Data"
"4692","14.337827","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4694","14.339391","104.198.218.190","10.1.10.11","TLSv1.2","298","Application Data, Application Data, Application Data"
"4715","14.407583","104.198.218.190","10.1.10.11","TLSv1.2","226","Application Data, Application Data"
"4725","14.426818","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4736","14.476002","104.198.218.190","10.1.10.11","TLSv1.2","230","Application Data, Application Data"
"4752","14.507230","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4789","14.598591","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4815","14.676441","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4816","14.678869","104.198.218.190","10.1.10.11","TLSv1.2","157","Application Data"
"4839","14.747561","104.198.218.190","10.1.10.11","TLSv1.2","302","Application Data, Application Data, Application Data"
"4848","14.766911","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4859","14.812828","104.198.218.190","10.1.10.11","TLSv1.2","233","Application Data, Application Data"
"4874","14.846745","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4881","14.879621","104.198.218.190","10.1.10.11","TLSv1.2","233","Application Data, Application Data"
"4900","14.936525","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4934","15.017111","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"4937","15.023775","104.198.218.190","10.1.10.11","TLSv1.2","165","Application Data"
"4960","15.089550","104.198.218.190","10.1.10.11","TLSv1.2","124","Application Data"
"4973","15.106768","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5005","15.187192","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5041","15.276601","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5070","15.357062","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5095","15.447060","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5098","15.457753","104.198.218.190","10.1.10.11","TLSv1.2","165","Application Data"
"5112","15.526127","104.198.218.190","10.1.10.11","TLSv1.2","130","Application Data"
"5122","15.537230","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5128","15.582252","104.198.218.190","10.1.10.11","TLSv1.2","434","Application Data, Application Data, Application Data, Application Data"
"5142","15.616784","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5157","15.649803","104.198.218.190","10.1.10.11","TLSv1.2","246","Application Data, Application Data"
"5176","15.706624","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5181","15.717865","104.198.218.190","10.1.10.11","TLSv1.2","248","Application Data, Application Data"
"5207","15.786516","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5209","15.793938","104.198.218.190","10.1.10.11","TLSv1.2","174","Application Data"
"5230","15.861624","104.198.218.190","10.1.10.11","TLSv1.2","329","Application Data, Application Data, Application Data"
"5238","15.876837","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5265","15.959616","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5271","15.978748","104.198.218.190","10.1.10.11","TLSv1.2","176","Application Data"
"5294","16.048061","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5296","16.048138","104.198.218.190","10.1.10.11","TLSv1.2","133","Application Data"
"5314","16.113978","104.198.218.190","10.1.10.11","TLSv1.2","255","Application Data, Application Data"
"5321","16.126607","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5329","16.172274","104.198.218.190","10.1.10.11","TLSv1.2","457","Application Data, Application Data, Application Data, Application Data"
"5343","16.216968","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5396","16.296676","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5415","16.328805","104.198.218.190","10.1.10.11","TLSv1.2","185","Application Data"
"5439","16.387047","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5444","16.397526","104.198.218.190","10.1.10.11","TLSv1.2","129","Application Data"
"5468","16.468799","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5488","16.545673","104.198.218.190","10.1.10.11","TLSv1.2","185","Application Data"
"5498","16.556601","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5510","16.603814","104.198.218.190","10.1.10.11","TLSv1.2","130","Application Data"
"5526","16.637369","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5556","16.726849","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5575","16.801903","104.198.218.190","10.1.10.11","TLSv1.2","185","Application Data"
"5582","16.816487","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5592","16.859745","104.198.218.190","10.1.10.11","TLSv1.2","137","Application Data"
"5604","16.896605","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5611","16.925462","104.198.218.190","10.1.10.11","TLSv1.2","268","Application Data, Application Data"
"5643","16.986920","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5645","16.991188","104.198.218.190","10.1.10.11","TLSv1.2","272","Application Data, Application Data"
"5676","17.067373","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5678","17.071938","104.198.218.190","10.1.10.11","TLSv1.2","199","Application Data"
"5698","17.140600","104.198.218.190","10.1.10.11","TLSv1.2","348","Application Data, Application Data, Application Data"
"5708","17.156846","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5719","17.204880","104.198.218.190","10.1.10.11","TLSv1.2","275","Application Data, Application Data"
"5740","17.237436","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5749","17.275966","104.198.218.190","10.1.10.11","TLSv1.2","278","Application Data, Application Data"
"5771","17.327654","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5775","17.344045","104.198.218.190","10.1.10.11","TLSv1.2","502","Application Data, Application Data, Application Data, Application Data"
"5798","17.406684","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5801","17.420943","104.198.218.190","10.1.10.11","TLSv1.2","207","Application Data"
"5815","17.487813","104.198.218.190","10.1.10.11","TLSv1.2","129","Application Data"
"5823","17.496946","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5841","17.545245","104.198.218.190","10.1.10.11","TLSv1.2","283","Application Data, Application Data"
"5858","17.576515","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5867","17.611588","104.198.218.190","10.1.10.11","TLSv1.2","285","Application Data, Application Data"
"5886","17.667025","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5909","17.741585","104.198.218.190","10.1.10.11","TLSv1.2","207","Application Data"
"5915","17.757500","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5928","17.801967","104.198.218.190","10.1.10.11","TLSv1.2","365","Application Data, Application Data, Application Data"
"5945","17.836916","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5954","17.869789","104.198.218.190","10.1.10.11","TLSv1.2","288","Application Data, Application Data"
"5977","17.919334","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"5984","17.935919","104.198.218.190","10.1.10.11","TLSv1.2","524","Application Data, Application Data, Application Data, Application Data"
"6011","18.006622","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6016","18.030556","104.198.218.190","10.1.10.11","TLSv1.2","219","Application Data"
"6039","18.096443","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6040","18.097229","104.198.218.190","10.1.10.11","TLSv1.2","365","Application Data, Application Data, Application Data"
"6054","18.163847","104.198.218.190","10.1.10.11","TLSv1.2","293","Application Data, Application Data"
"6061","18.179332","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6081","18.226984","104.198.218.190","10.1.10.11","TLSv1.2","535","Application Data, Application Data, Application Data, Application Data"
"6100","18.267546","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6109","18.296121","104.198.218.190","10.1.10.11","TLSv1.2","295","Application Data, Application Data"
"6129","18.346768","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6150","18.413516","104.198.218.190","10.1.10.11","TLSv1.2","223","Application Data"
"6165","18.436972","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6177","18.481601","104.198.218.190","10.1.10.11","TLSv1.2","126","Application Data"
"6194","18.517177","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6227","18.606935","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6258","18.688082","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6280","18.776482","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6312","18.856506","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6340","18.952959","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6366","19.026648","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6405","19.117319","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6416","19.154360","104.198.218.190","10.1.10.11","TLSv1.2","227","Application Data"
"6438","19.196985","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6445","19.223508","104.198.218.190","10.1.10.11","TLSv1.2","122","Application Data"
"6469","19.286659","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6472","19.291595","104.198.218.190","10.1.10.11","TLSv1.2","302","Application Data, Application Data"
"6492","19.373673","104.198.218.190","10.1.10.11","TLSv1.2","227","Application Data"
"6499","19.378529","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6508","19.422669","104.198.218.190","10.1.10.11","TLSv1.2","141","Application Data"
"6522","19.457024","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6537","19.492353","104.198.218.190","10.1.10.11","TLSv1.2","320","Application Data, Application Data"
"6564","19.549132","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6568","19.557608","104.198.218.190","10.1.10.11","TLSv1.2","316","Application Data, Application Data"
"6594","19.626056","104.198.218.190","10.1.10.11","TLSv1.2","590","Application Data, Application Data, Application Data, Application Data"
"6601","19.626553","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6618","19.676172","104.198.218.190","10.1.10.11","TLSv1.2","250","Application Data"
"6637","19.721446","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6642","19.743457","104.198.218.190","10.1.10.11","TLSv1.2","127","Application Data"
"6663","19.797691","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6731","19.886491","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6735","19.913033","104.198.218.190","10.1.10.11","TLSv1.2","254","Application Data"
"6755","19.967114","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6759","19.979574","104.198.218.190","10.1.10.11","TLSv1.2","123","Application Data"
"6781","20.046751","104.198.218.190","10.1.10.11","TLSv1.2","262","Application Data"
"6791","20.057039","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6829","20.140123","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6860","20.226591","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6890","20.306712","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6918","20.396924","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6950","20.476547","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"6982","20.566547","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7010","20.657261","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7032","20.737254","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7066","20.826380","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7094","20.906810","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7124","20.998190","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7152","21.077154","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7181","21.168912","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7208","21.246574","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7239","21.337509","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7268","21.417018","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7295","21.506505","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7321","21.586473","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7352","21.676662","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7382","21.756769","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7414","21.846794","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7444","21.936767","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7464","22.016591","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7506","22.108559","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7532","22.186451","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7558","22.276856","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7585","22.357106","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7615","22.448826","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7643","22.528601","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7668","22.617892","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7688","22.697005","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7725","22.786883","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7753","22.866358","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7783","22.956659","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7819","23.040381","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7845","23.128840","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7874","23.218986","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7895","23.296553","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7923","23.386607","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7944","23.452270","104.198.218.190","10.1.10.11","TLSv1.2","229","Application Data"
"7954","23.466954","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7967","23.512557","104.198.218.190","10.1.10.11","TLSv1.2","147","Application Data"
"7985","23.557014","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"7989","23.580592","104.198.218.190","10.1.10.11","TLSv1.2","324","Application Data, Application Data"
