"No.","Time","Source","Destination","Protocol","Length","Info"
"14","0.021806","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"26","0.062545","104.198.218.190","10.1.10.11","TLSv1.2","265","Application Data, Application Data"
"47","0.111543","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"54","0.127900","104.198.218.190","10.1.10.11","TLSv1.2","477","Application Data, Application Data, Application Data, Application Data"
"84","0.192730","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"123","0.282352","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"124","0.284159","104.198.218.190","10.1.10.11","TLSv1.2","197","Application Data"
"165","0.353966","104.198.218.190","10.1.10.11","TLSv1.2","126","Application Data"
"174","0.361531","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"209","0.445538","104.198.218.190","10.1.10.11","TLSv1.2","197","Application Data"
"215","0.451478","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"227","0.496613","104.198.218.190","10.1.10.11","TLSv1.2","129","Application Data"
"245","0.531787","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"259","0.563221","104.198.218.190","10.1.10.11","TLSv1.2","496","Application Data, Application Data, Application Data, Application Data"
"287","0.621316","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"321","0.707464","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"324","0.713266","104.198.218.190","10.1.10.11","TLSv1.2","205","Application Data"
"347","0.779674","104.198.218.190","10.1.10.11","TLSv1.2","127","Application Data"
"356","0.790892","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"434","0.878587","104.198.218.190","10.1.10.11","TLSv1.2","208","Application Data"
"442","0.885712","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"452","0.930324","104.198.218.190","10.1.10.11","TLSv1.2","127","Application Data"
"470","0.961871","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"475","0.997235","104.198.218.190","10.1.10.11","TLSv1.2","278","Application Data, Application Data"
"506","1.052594","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"510","1.065855","104.198.218.190","10.1.10.11","TLSv1.2","286","Application Data, Application Data"
"539","1.131611","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"541","1.138513","104.198.218.190","10.1.10.11","TLSv1.2","504","Application Data, Application Data, Application Data, Application Data"
"571","1.214310","104.198.218.190","10.1.10.11","TLSv1.2","216","Application Data"
"577","1.220971","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"591","1.266281","104.198.218.190","10.1.10.11","TLSv1.2","129","Application Data"
"609","1.302325","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"617","1.333128","104.198.218.190","10.1.10.11","TLSv1.2","291","Application Data, Application Data"
"642","1.391355","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"651","1.420402","104.198.218.190","10.1.10.11","TLSv1.2","219","Application Data"
"698","1.471953","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"700","1.486396","104.198.218.190","10.1.10.11","TLSv1.2","127","Application Data"
"787","1.561572","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"788","1.569613","104.198.218.190","10.1.10.11","TLSv1.2","219","Application Data"
"826","1.635830","104.198.218.190","10.1.10.11","TLSv1.2","135","Application Data"
"835","1.652068","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"855","1.732009","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"857","1.738267","104.198.218.190","10.1.10.11","TLSv1.2","219","Application Data"
"887","1.807932","104.198.218.190","10.1.10.11","TLSv1.2","139","Application Data"
"893","1.812120","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"911","1.856201","104.198.218.190","10.1.10.11","TLSv1.2","305","Application Data, Application Data"
"927","1.901208","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"955","1.982329","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"961","1.997140","104.198.218.190","10.1.10.11","TLSv1.2","230","Application Data"
"993","2.064369","104.198.218.190","10.1.10.11","TLSv1.2","131","Application Data"
"1002","2.071580","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1027","2.152563","104.198.218.190","10.1.10.11","TLSv1.2","239","Application Data"
"1037","2.161804","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
