"No.","Time","Source","Destination","Protocol","Length","Info"
"8","0.005479","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"14","0.026568","104.198.218.190","10.1.10.11","TLSv1.2","221","Application Data, Application Data"
"39","0.087199","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"69","0.177468","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"104","0.257548","104.198.218.190","10.1.10.11","TLSv1.2","141","Application Data"
"110","0.259698","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"132","0.304697","104.198.218.190","10.1.10.11","TLSv1.2","307","Application Data, Application Data, Application Data"
"164","0.346484","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"208","0.427236","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"212","0.437684","104.198.218.190","10.1.10.11","TLSv1.2","156","Application Data"
"234","0.504742","104.198.218.190","10.1.10.11","TLSv1.2","122","Application Data"
"244","0.515818","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"272","0.596298","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"310","0.685884","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"339","0.775747","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"355","0.802827","104.198.218.190","10.1.10.11","TLSv1.2","163","Application Data"
"407","0.856041","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"452","0.945269","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"480","1.025661","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"516","1.118561","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"542","1.195297","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"588","1.286143","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"689","1.365747","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"744","1.457138","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"770","1.535346","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"807","1.625674","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"846","1.706294","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"880","1.796830","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"906","1.876558","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"940","1.965991","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"972","2.055602","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"992","2.135819","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1015","2.225937","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1050","2.307193","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1086","2.395514","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1108","2.475993","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1138","2.566451","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1165","2.645463","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1194","2.738557","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1223","2.817957","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1256","2.906006","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1280","2.983062","104.198.218.190","10.1.10.11","TLSv1.2","163","Application Data"
"1286","2.985885","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1295","3.029145","104.198.218.190","10.1.10.11","TLSv1.2","158","Application Data"
"1315","3.075695","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1336","3.145709","104.198.218.190","10.1.10.11","TLSv1.2","163","Application Data"
"1347","3.155906","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1357","3.202755","104.198.218.190","10.1.10.11","TLSv1.2","375","Application Data, Application Data, Application Data"
"1377","3.245294","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1384","3.271322","104.198.218.190","10.1.10.11","TLSv1.2","272","Application Data, Application Data"
"1411","3.337205","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1433","3.410349","104.198.218.190","10.1.10.11","TLSv1.2","163","Application Data"
"1439","3.415178","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1451","3.459413","104.198.218.190","10.1.10.11","TLSv1.2","165","Application Data"
"1475","3.505857","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1482","3.526496","104.198.218.190","10.1.10.11","TLSv1.2","275","Application Data, Application Data"
"1506","3.585842","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1510","3.595636","104.198.218.190","10.1.10.11","TLSv1.2","496","Application Data, Application Data, Application Data, Application Data"
"1537","3.664240","104.198.218.190","10.1.10.11","TLSv1.2","278","Application Data, Application Data"
"1547","3.675920","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1579","3.755900","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"1582","3.762863","104.198.218.190","10.1.10.11","TLSv1.2","206","Application Data"
"1602","3.830706","104.198.218.190","10.1.10.11","TLSv1.2","358","Application Data, Application Data, Application Data"
"1613","3.847029","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
