"No.","Time","Source","Destination","Protocol","Length","Info"
"5","0.004176","104.198.218.190","10.1.10.11","TLSv1.2","122","Application Data"
"28","0.047272","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"60","0.138440","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"80","0.209122","104.198.218.190","10.1.10.11","TLSv1.2","226","Application Data"
"92","0.218105","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"105","0.262169","104.198.218.190","10.1.10.11","TLSv1.2","130","Application Data"
"130","0.309066","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"137","0.327266","104.198.218.190","10.1.10.11","TLSv1.2","302","Application Data, Application Data"
"164","0.387597","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"189","0.464007","104.198.218.190","10.1.10.11","TLSv1.2","233","Application Data"
"198","0.477510","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"211","0.521798","104.198.218.190","10.1.10.11","TLSv1.2","128","Application Data"
"232","0.557080","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"278","0.650276","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"317","0.729782","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"319","0.737612","104.198.218.190","10.1.10.11","TLSv1.2","241","Application Data"
"392","0.806619","104.198.218.190","10.1.10.11","TLSv1.2","120","Application Data"
"400","0.819885","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"465","0.897469","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"508","0.988082","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"518","1.008883","104.198.218.190","10.1.10.11","TLSv1.2","246","Application Data"
"545","1.066605","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"546","1.073688","104.198.218.190","10.1.10.11","TLSv1.2","312","Application Data, Application Data"
"579","1.156951","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"580","1.159512","104.198.218.190","10.1.10.11","TLSv1.2","246","Application Data"
"614","1.223207","104.198.218.190","10.1.10.11","TLSv1.2","124","Application Data"
"624","1.242628","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"633","1.291952","104.198.218.190","10.1.10.11","TLSv1.2","320","Application Data, Application Data"
"655","1.339640","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"658","1.357832","104.198.218.190","10.1.10.11","TLSv1.2","321","Application Data, Application Data"
"678","1.424424","104.198.218.190","10.1.10.11","TLSv1.2","321","Application Data, Application Data"
"704","1.441568","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"774","1.511173","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"835","1.597501","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"852","1.633459","104.198.218.190","10.1.10.11","TLSv1.2","251","Application Data"
"874","1.695884","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"876","1.699443","104.198.218.190","10.1.10.11","TLSv1.2","394","Application Data, Application Data, Application Data"
