"No.","Time","Source","Destination","Protocol","Length","Info"
"1591","4.774766","10.1.10.11","104.198.218.190","TLSv1.2","501","Application Data"
"5844","15.340393","104.198.218.190","10.1.10.11","TLSv1.2","1474","Server Hello, Certificate"
"5845","15.341954","104.198.218.190","10.1.10.11","TLSv1.2","222","Server Key Exchange, Server Hello Done"
"5847","15.347637","10.1.10.11","104.198.218.190","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request"
"5859","15.392584","104.198.218.190","10.1.10.11","TLSv1.2","296","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"5861","15.393659","10.1.10.11","104.198.218.190","TLSv1.2","501","Application Data"
"5880","15.440767","104.198.218.190","10.1.10.11","TLSv1.2","358","Application Data"
"5882","15.443650","10.1.10.11","104.198.218.190","TLSv1.2","442","Application Data"
"5907","15.492713","104.198.218.190","10.1.10.11","TLSv1.2","410","Application Data"
"8219","23.730537","104.198.218.190","10.1.10.11","TLSv1.2","1474","Server Hello, Certificate"
"8220","23.731865","104.198.218.190","10.1.10.11","TLSv1.2","222","Server Key Exchange, Server Hello Done"
"8224","23.737245","10.1.10.11","104.198.218.190","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request"
"8230","23.782417","104.198.218.190","10.1.10.11","TLSv1.2","296","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"9458","29.071005","104.198.218.190","10.1.10.11","TLSv1.2","1474","Server Hello, Certificate"
"9459","29.071759","104.198.218.190","10.1.10.11","TLSv1.2","222","Server Key Exchange, Server Hello Done"
"9462","29.077849","10.1.10.11","104.198.218.190","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Hello Request, Hello Request"
"9469","29.125260","104.198.218.190","10.1.10.11","TLSv1.2","296","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"9470","29.126448","10.1.10.11","104.198.218.190","TLSv1.2","584","Application Data"
"9479","29.173217","104.198.218.190","10.1.10.11","TLSv1.2","212","Application Data"
"9481","29.175861","10.1.10.11","104.198.218.190","TLSv1.2","142","Application Data"
"9549","29.435248","10.1.10.11","104.198.218.190","TLSv1.2","1514","Application Data[TCP segment of a reassembled PDU]"
"9569","29.483716","10.1.10.11","104.198.218.190","TLSv1.2","452","Application Data"
"9590","29.529286","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"9623","29.595089","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"9658","29.685890","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"9683","29.761086","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"9720","29.850831","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"9749","29.941627","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"9776","30.014152","104.198.218.190","10.1.10.11","TLSv1.2","122","Application Data"
"9793","30.042505","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"9803","30.086066","104.198.218.190","10.1.10.11","TLSv1.2","123","Application Data"
"9822","30.110761","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"9865","30.192150","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"9899","30.292346","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"9933","30.370452","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"9964","30.463348","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"10001","30.542116","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"10007","30.553612","104.198.218.190","10.1.10.11","TLSv1.2","130","Application Data"
"10037","30.624106","104.198.218.190","10.1.10.11","TLSv1.2","132","Application Data"
"10046","30.631029","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"10059","30.676326","104.198.218.190","10.1.10.11","TLSv1.2","275","Application Data, Application Data, Application Data"
"10081","30.711837","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"10086","30.745505","104.198.218.190","10.1.10.11","TLSv1.2","199","Application Data, Application Data"
"10114","30.805573","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"10119","30.824176","104.198.218.190","10.1.10.11","TLSv1.2","123","Application Data"
"10146","30.881991","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"10150","30.895532","104.198.218.190","10.1.10.11","TLSv1.2","131","Application Data"
"10180","30.970218","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"10203","31.045616","104.198.218.190","10.1.10.11","TLSv1.2","130","Application Data"
"10209","31.051327","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"10226","31.096681","104.198.218.190","10.1.10.11","TLSv1.2","274","Application Data, Application Data, Application Data"
"10248","31.140210","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"10258","31.164325","104.198.218.190","10.1.10.11","TLSv1.2","204","Application Data, Application Data"
"10279","31.232409","104.198.218.190","10.1.10.11","TLSv1.2","206","Application Data, Application Data"
"10290","31.246059","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"10326","31.330328","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"10353","31.420381","104.198.218.190","10.1.10.11","TLSv1.2","134","Application Data"
"10358","31.420615","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"10389","31.487875","104.198.218.190","10.1.10.11","TLSv1.2","284","Application Data, Application Data, Application Data"
"10397","31.502016","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"10427","31.582115","104.198.218.190","10.1.10.11","TLSv1.2","139","Application Data"
"10436","31.590402","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"10448","31.634713","104.198.218.190","10.1.10.11","TLSv1.2","125","Application Data"
"10467","31.671618","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"10475","31.702687","104.198.218.190","10.1.10.11","TLSv1.2","210","Application Data, Application Data"
"10496","31.760188","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"10535","31.841318","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"10539","31.855485","104.198.218.190","10.1.10.11","TLSv1.2","143","Application Data"
