"No.","Time","Source","Destination","Protocol","Length","Info"
"4","0.004127","104.198.218.190","10.1.10.11","TLSv1.2","128","Application Data"
"32","0.045380","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"46","0.075459","104.198.218.190","10.1.10.11","TLSv1.2","276","Application Data, Application Data"
"81","0.125611","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"87","0.145593","104.198.218.190","10.1.10.11","TLSv1.2","277","Application Data, Application Data"
"131","0.215700","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"136","0.220163","104.198.218.190","10.1.10.11","TLSv1.2","200","Application Data"
"161","0.286771","104.198.218.190","10.1.10.11","TLSv1.2","133","Application Data"
"168","0.296806","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"182","0.341389","104.198.218.190","10.1.10.11","TLSv1.2","277","Application Data, Application Data"
"203","0.385824","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"234","0.465640","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"255","0.550910","104.198.218.190","10.1.10.11","TLSv1.2","215","Application Data"
"261","0.555472","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"280","0.600018","104.198.218.190","10.1.10.11","TLSv1.2","354","Application Data, Application Data, Application Data"
"302","0.638033","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"313","0.667363","104.198.218.190","10.1.10.11","TLSv1.2","290","Application Data, Application Data"
"338","0.727213","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"339","0.733460","104.198.218.190","10.1.10.11","TLSv1.2","218","Application Data"
"368","0.805490","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"408","0.839161","104.198.218.190","10.1.10.11","TLSv1.2","215","Application Data"
"460","0.895877","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"463","0.905301","104.198.218.190","10.1.10.11","TLSv1.2","132","Application Data"
"494","0.976038","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"497","0.977984","104.198.218.190","10.1.10.11","TLSv1.2","215","Application Data"
"517","1.045457","104.198.218.190","10.1.10.11","TLSv1.2","133","Application Data"
"525","1.065382","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"552","1.147142","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"554","1.154612","104.198.218.190","10.1.10.11","TLSv1.2","215","Application Data"
"583","1.223143","104.198.218.190","10.1.10.11","TLSv1.2","132","Application Data"
"593","1.236578","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
"600","1.281990","104.198.218.190","10.1.10.11","TLSv1.2","294","Application Data, Application Data"
"618","1.325757","10.1.10.11","104.198.218.190","TLSv1.2","983","Application Data"
